This file was created using the 202002 Bloomberg database. It contains
value- and equal-weighted returns for the intersections of 2 ME portfolios
and 3 prior return portfolios in Emerging_Markets.

The portfolios are constructed monthly.  ME is market cap at the end of the
previous month.  Prior return is from -12 to - 2.

Missing data are indicated by -99.99.



  Average Value Weighted Returns -- Monthly
,SMALL LoPRIOR,ME1 PRIOR2,SMALL HiPRIOR,BIG LoPRIOR,ME2 PRIOR2,BIG HiPRIOR
200509       ,21.47       ,31.38       ,19.16      ,705.20      ,930.17      ,809.35
200510       ,24.79       ,31.82       ,20.84      ,784.07      ,976.54      ,994.46
200511       ,22.97       ,29.25       ,22.14      ,680.48      ,961.91      ,877.49
200512       ,22.49       ,30.69       ,27.94      ,837.07     ,1024.90      ,978.57
200601       ,24.19       ,32.21       ,29.52      ,871.99     ,1151.06     ,1020.74
200602       ,27.60       ,36.27       ,32.00      ,937.19     ,1304.26     ,1162.70
200603       ,25.39       ,39.67       ,34.51      ,774.77     ,1348.49     ,1324.25
200604       ,25.68       ,38.62       ,38.50      ,775.35     ,1481.41     ,1211.58
200605       ,26.54       ,40.78       ,48.54      ,855.13     ,1541.10     ,1358.41
200606       ,23.04       ,37.27       ,43.52      ,843.38     ,1367.52     ,1137.74
200607       ,22.53       ,35.97       ,44.52      ,801.69     ,1458.95     ,1092.61
200608       ,23.89       ,37.29       ,41.87      ,911.85     ,1408.84     ,1142.12
200609       ,24.59       ,35.84       ,44.87     ,1040.82     ,1331.38     ,1262.13
200610       ,23.46       ,39.03       ,46.23      ,945.50     ,1475.68     ,1151.88
200611       ,25.72       ,39.92       ,48.36      ,957.04     ,1531.72     ,1182.75
200612       ,26.72       ,43.29       ,47.81      ,951.50     ,1570.83     ,1255.20
200701       ,27.40       ,43.67       ,49.26     ,1077.15     ,1798.29     ,1043.28
200702       ,27.08       ,41.27       ,47.30     ,1300.84     ,1621.53      ,913.40
200703       ,29.74       ,39.18       ,42.21     ,1272.43     ,1452.64     ,1139.45
200704       ,34.44       ,35.83       ,43.02     ,1445.31     ,1478.85     ,1079.40
200705       ,34.55       ,37.49       ,46.92     ,1702.76     ,1382.61     ,1179.58
200706       ,32.75       ,47.92       ,52.57     ,1731.78     ,1460.88     ,1215.97
200707       ,31.54       ,50.45       ,57.81     ,1970.45     ,1634.57      ,976.20
200708       ,32.57       ,52.44       ,57.83     ,2182.04     ,1619.66     ,1093.07
200709       ,32.03       ,49.96       ,56.44     ,2022.25     ,1660.09     ,1188.91
200710       ,35.53       ,51.68       ,60.06     ,2101.36     ,1744.43     ,1533.58
200711       ,40.27       ,57.27       ,60.65     ,2288.10     ,2030.92     ,1945.61
200712       ,39.19       ,48.77       ,65.31     ,1860.11     ,2075.00     ,2026.38
200801       ,37.81       ,50.83       ,63.99     ,1687.24     ,2049.13     ,2151.90
200802       ,33.55       ,45.97       ,51.78     ,1355.95     ,1945.65     ,1770.82
200803       ,38.13       ,49.45       ,54.13     ,1380.00     ,1856.74     ,2235.51
200804       ,36.81       ,48.96       ,48.93     ,1338.85     ,1856.25     ,2030.05
200805       ,41.23       ,51.10       ,48.96     ,1140.33     ,2152.93     ,2397.36
200806       ,45.94       ,48.17       ,43.22     ,1054.20     ,2058.04     ,2627.22
200807       ,45.11       ,38.37       ,40.75      ,932.51     ,1845.69     ,2524.07
200808       ,45.57       ,35.92       ,37.86      ,968.00     ,1767.85     ,2266.97
200809       ,38.11       ,36.52       ,35.03      ,904.88     ,1897.58     ,1761.77
200810       ,30.87       ,29.48       ,33.13      ,812.68     ,1546.62     ,1468.02
200811       ,24.42       ,22.95       ,20.41      ,635.29     ,1124.58     ,1111.89
200812       ,22.58       ,20.99       ,18.21      ,573.96     ,1021.01      ,995.16
200901       ,24.41       ,22.14       ,19.92      ,664.46     ,1024.89     ,1188.84
200902       ,22.16       ,22.51       ,18.96      ,722.20      ,910.09     ,1042.26
200903       ,21.62       ,21.12       ,18.48      ,685.05      ,828.55     ,1029.13
200904       ,24.41       ,25.12       ,20.74      ,660.72     ,1198.58      ,987.12
200905       ,28.74       ,29.35       ,24.09      ,781.68     ,1331.22     ,1133.39
200906       ,33.64       ,32.24       ,30.03      ,962.95     ,1577.87     ,1115.44
200907       ,31.71       ,27.98       ,39.41     ,1223.04     ,1517.42      ,937.50
200908       ,32.50       ,37.01       ,41.47     ,1227.58     ,1840.72     ,1045.10
200909       ,31.91       ,36.73       ,45.65     ,1298.93     ,1662.97     ,1162.00
200910       ,30.56       ,45.06       ,52.69     ,1922.43     ,1585.12     ,1065.29
200911       ,28.49       ,45.88       ,59.21     ,1839.07     ,1694.52      ,939.21
200912       ,28.44       ,45.60       ,62.94     ,1894.79     ,1765.95     ,1073.23
201001       ,30.74       ,43.44       ,68.36     ,1920.05     ,1847.23     ,1143.88
201002       ,27.38       ,42.01       ,63.38     ,1911.49     ,1637.68     ,1100.86
201003       ,28.78       ,41.21       ,61.71     ,1924.44     ,1643.49     ,1076.87
201004       ,33.92       ,42.74       ,62.41     ,2108.74     ,1752.95     ,1109.45
201005       ,33.88       ,46.33       ,61.88     ,1862.56     ,1918.56     ,1192.05
201006       ,33.44       ,43.90       ,50.67     ,1651.11     ,1705.89     ,1277.85
201007       ,33.59       ,44.27       ,50.10     ,1560.56     ,1809.48     ,1204.75
201008       ,35.48       ,51.15       ,48.21     ,1764.04     ,2018.97     ,1107.12
201009       ,37.64       ,50.23       ,46.87     ,1552.61     ,2128.06     ,1100.60
201010       ,41.96       ,57.52       ,52.88     ,1955.48     ,2337.36     ,1172.83
201011       ,43.59       ,57.07       ,59.38     ,2028.09     ,2302.60     ,1253.45
201012       ,43.06       ,54.00       ,57.21     ,2237.89     ,2049.15     ,1347.53
201101       ,41.92       ,58.51       ,65.03     ,2048.15     ,2460.92     ,1488.65
201102       ,40.87       ,59.69       ,62.90     ,1778.65     ,2387.61     ,1623.80
201103       ,42.49       ,56.85       ,65.51     ,1699.54     ,2386.86     ,1611.68
201104       ,49.08       ,57.37       ,63.76     ,1904.16     ,2447.25     ,1974.31
201105       ,47.01       ,65.71       ,68.73     ,1870.63     ,2315.42     ,2260.61
201106       ,44.99       ,62.51       ,66.02     ,2094.10     ,2034.00     ,2223.10
201107       ,44.28       ,59.51       ,64.21     ,1720.38     ,2260.69     ,2180.27
201108       ,43.78       ,60.93       ,67.81     ,1711.53     ,2311.34     ,2053.97
201109       ,40.37       ,50.69       ,64.10     ,1479.59     ,2193.99     ,1837.31
201110       ,35.39       ,44.34       ,50.27     ,1344.97     ,1880.79     ,1614.01
201111       ,41.18       ,50.68       ,45.44     ,1487.63     ,2067.74     ,1964.10
201112       ,40.20       ,42.57       ,49.07     ,1159.91     ,2004.23     ,1968.98
201201       ,40.67       ,44.73       ,42.51     ,1411.15     ,1898.82     ,1761.53
201202       ,45.83       ,47.57       ,51.90     ,1564.21     ,2133.53     ,1947.74
201203       ,47.40       ,56.49       ,56.15     ,1555.93     ,2470.74     ,1956.06
201204       ,46.26       ,46.77       ,52.81     ,1698.04     ,2080.61     ,1968.96
201205       ,43.80       ,51.65       ,55.15     ,1659.99     ,1967.20     ,2066.94
201206       ,43.22       ,43.55       ,46.62     ,1388.70     ,1840.93     ,1789.21
201207       ,43.33       ,47.09       ,42.95     ,1484.31     ,1942.24     ,1807.61
201208       ,42.12       ,49.63       ,47.13     ,1466.09     ,1950.11     ,1954.75
201209       ,40.93       ,48.71       ,52.31     ,1267.28     ,2055.03     ,1945.59
201210       ,40.70       ,46.55       ,59.83     ,1380.10     ,2387.60     ,1757.66
201211       ,39.25       ,53.77       ,59.20     ,1740.51     ,2113.03     ,1721.43
201212       ,37.49       ,56.87       ,57.38     ,1716.91     ,2315.91     ,1603.23
201301       ,40.46       ,58.78       ,64.87     ,1987.07     ,2218.37     ,1775.47
201302       ,39.80       ,59.25       ,70.46     ,1868.23     ,2364.94     ,1725.21
201303       ,40.77       ,52.35       ,68.51     ,1708.64     ,2373.11     ,1830.08
201304       ,41.00       ,58.04       ,66.22     ,1710.95     ,2536.17     ,1422.22
201305       ,39.71       ,58.49       ,72.24     ,1826.62     ,2434.23     ,1521.03
201306       ,37.60       ,57.62       ,73.56     ,1693.48     ,2341.34     ,1502.26
201307       ,35.71       ,55.52       ,63.60     ,1794.79     ,2133.38     ,1299.48
201308       ,34.30       ,55.38       ,69.86     ,1849.48     ,2131.92     ,1285.66
201309       ,35.68       ,50.80       ,64.01     ,1667.61     ,2126.59     ,1276.45
201310       ,40.46       ,52.96       ,64.44     ,1640.59     ,2355.70     ,1300.02
201311       ,41.08       ,51.97       ,68.81     ,1587.22     ,2355.72     ,1656.68
201312       ,41.20       ,52.25       ,63.39     ,1571.67     ,2312.91     ,1605.29
201401       ,40.72       ,53.31       ,61.23     ,1606.31     ,2204.37     ,1513.90
201402       ,39.38       ,47.89       ,56.79     ,1442.92     ,2017.05     ,1461.08
201403       ,42.33       ,47.98       ,57.71     ,1491.42     ,2119.82     ,1402.25
201404       ,43.93       ,49.60       ,55.37     ,1624.37     ,2134.85     ,1541.00
201405       ,43.51       ,51.26       ,56.42     ,1667.38     ,2140.50     ,1517.05
201406       ,43.75       ,56.22       ,56.11     ,1529.85     ,2231.99     ,1771.44
201407       ,50.67       ,53.10       ,58.89     ,1640.81     ,2253.32     ,1758.50
201408       ,51.75       ,56.01       ,56.32     ,1617.60     ,2442.04     ,1641.22
201409       ,51.30       ,61.50       ,55.67     ,1682.56     ,2419.15     ,1794.58
201410       ,45.76       ,59.77       ,52.59     ,1524.23     ,2169.98     ,1798.68
201411       ,47.88       ,56.97       ,53.21     ,1751.75     ,2251.37     ,1560.82
201412       ,49.30       ,59.33       ,50.29     ,1602.18     ,2125.10     ,1887.31
201501       ,46.53       ,54.45       ,50.09     ,1445.61     ,2125.18     ,1671.30
201502       ,50.27       ,53.66       ,49.52     ,1319.19     ,2319.62     ,1559.24
201503       ,50.37       ,57.25       ,47.72     ,1476.71     ,2163.60     ,1784.46
201504       ,50.89       ,58.73       ,46.65     ,1335.52     ,2194.60     ,1833.22
201505       ,52.27       ,61.01       ,55.84     ,1534.45     ,2255.07     ,1902.54
201506       ,52.88       ,59.23       ,52.18     ,1671.66     ,2210.60     ,1624.87
201507       ,48.63       ,57.62       ,57.74     ,1738.79     ,2017.90     ,1716.00
201508       ,44.53       ,52.21       ,56.08     ,1582.82     ,1895.14     ,1593.74
201509       ,42.47       ,48.75       ,47.97     ,1394.12     ,1838.66     ,1483.37
201510       ,43.66       ,49.40       ,48.04     ,1535.17     ,1650.80     ,1613.45
201511       ,44.70       ,52.74       ,56.82     ,1822.49     ,1899.59     ,1352.23
201512       ,44.77       ,53.40       ,51.54     ,1623.82     ,1904.24     ,1351.81
201601       ,44.29       ,48.82       ,50.03     ,1487.66     ,1930.17     ,1309.92
201602       ,41.09       ,46.96       ,44.69     ,1545.49     ,1803.73     ,1111.64
201603       ,44.73       ,45.87       ,40.91     ,1359.81     ,1897.18     ,1164.62
201604       ,49.19       ,53.15       ,45.71     ,1548.66     ,1995.93     ,1462.06
201605       ,48.16       ,50.75       ,51.16     ,1324.13     ,1924.16     ,1700.70
201606       ,49.32       ,49.55       ,45.08     ,1162.14     ,1898.13     ,1710.08
201607       ,47.78       ,50.88       ,51.04     ,1313.05     ,1815.04     ,1880.08
201608       ,48.62       ,55.21       ,55.21     ,1304.89     ,2046.05     ,1820.81
201609       ,48.90       ,56.50       ,53.35     ,1393.75     ,2098.17     ,1832.51
201610       ,47.30       ,58.39       ,55.59     ,1236.80     ,2013.05     ,2055.09
201611       ,47.09       ,56.28       ,56.81     ,1288.73     ,2015.09     ,2048.18
201612       ,46.46       ,53.09       ,53.26     ,1242.42     ,1862.60     ,2010.43
201701       ,45.16       ,56.47       ,53.70     ,1285.94     ,1930.85     ,1831.61
201702       ,45.60       ,60.78       ,58.71     ,1424.82     ,2075.89     ,1800.16
201703       ,49.40       ,60.27       ,57.99     ,1427.81     ,1999.62     ,2142.13
201704       ,49.36       ,60.24       ,62.42     ,1438.81     ,2255.17     ,1927.42
201705       ,49.90       ,63.24       ,63.85     ,1546.09     ,1907.72     ,2490.26
201706       ,53.20       ,64.60       ,59.14     ,1599.48     ,2379.79     ,1999.03
201707       ,50.76       ,67.23       ,57.67     ,1398.28     ,2074.51     ,2435.18
201708       ,52.18       ,70.48       ,63.59     ,1414.24     ,2302.21     ,2623.78
201709       ,54.13       ,74.45       ,58.82     ,1542.78     ,2048.52     ,3030.35
201710       ,52.43       ,74.54       ,64.01     ,1483.39     ,2198.45     ,2911.99
201711       ,52.92       ,76.28       ,71.00     ,1496.39     ,2358.43     ,2947.04
201712       ,54.10       ,72.56       ,73.46     ,1430.35     ,2368.17     ,2958.21
201801       ,54.71       ,85.44       ,68.72     ,1594.58     ,2561.27     ,2841.95
201802       ,59.41       ,84.75       ,78.85     ,1603.57     ,3076.53     ,2852.58
201803       ,56.97       ,83.93       ,72.40     ,1246.43     ,2877.44     ,2996.63
201804       ,59.92       ,74.57       ,71.34     ,1472.38     ,2622.22     ,2986.92
201805       ,58.04       ,74.09       ,75.28     ,1430.80     ,2860.91     ,2666.23
201806       ,55.54       ,72.36       ,75.21     ,1428.41     ,2635.36     ,2680.01
201807       ,53.28       ,63.02       ,77.89     ,1518.01     ,2644.84     ,2314.29
201808       ,51.75       ,65.07       ,77.60     ,1494.70     ,2915.50     ,2202.72
201809       ,52.49       ,60.73       ,75.33     ,1321.35     ,3006.34     ,2090.57
201810       ,50.57       ,64.86       ,73.40     ,1346.51     ,2778.97     ,2381.35
201811       ,47.70       ,59.62       ,61.29     ,1604.09     ,2338.46     ,2154.60
201812       ,48.26       ,63.60       ,63.44     ,1564.31     ,2283.11     ,2474.39
201901       ,49.07       ,61.08       ,62.98     ,1595.91     ,2222.57     ,2380.09
201902       ,51.03       ,67.64       ,67.03     ,1501.08     ,2883.79     ,2121.65
201903       ,51.48       ,69.47       ,64.99     ,1381.74     ,2922.02     ,2216.63
201904       ,54.03       ,67.79       ,62.99     ,1698.97     ,2667.88     ,2218.10
201905       ,52.14       ,71.92       ,66.84     ,1525.53     ,2860.75     ,2345.39
201906       ,52.09       ,61.59       ,62.84     ,1180.99     ,2646.17     ,2429.05
201907       ,51.68       ,67.93       ,69.39     ,1686.37     ,2818.93     ,2069.44
201908       ,50.63       ,65.04       ,71.73     ,1419.30     ,3050.46     ,1898.33
201909       ,48.68       ,63.51       ,67.64     ,1388.33     ,2751.87     ,1979.98
201910       ,48.78       ,64.41       ,76.62     ,1597.06     ,2788.94     ,2148.92
201911       ,50.65       ,66.25       ,77.53     ,1812.66     ,2711.72     ,2381.03
201912       ,48.12       ,71.36       ,77.07     ,1556.70     ,2834.36     ,2529.18
202001       ,51.79       ,76.76       ,78.48     ,1747.66     ,2648.25     ,3153.07
202002       ,50.30       ,73.42       ,75.65     ,1707.23     ,2854.23     ,2472.35
